n time_ns
3 3208
4 458
5 625
6 1000
7 1167
8 1583
9 2166
10 2333
11 2875
12 3334
13 3625
14 4750
15 4625
16 5042
17 6166
18 6250
19 7209
20 7584
21 6917
22 8042
23 8708
24 8708
25 10292
26 10375
27 11000
28 12167
29 12542
30 13333
31 14417
32 14583
33 16208
34 16542
35 16167
36 18375
37 19500
38 19875
39 20625
40 22208
41 22542
42 24208
43 25750
44 26583
45 26959
46 27875
47 27625
48 40959
49 33083
50 32833
