n time_ns
5 73000
6 115167
7 165583
8 240500
9 318875
10 488333
11 567625
12 704750
13 1014709
14 1045750
15 1310208
16 1747625
17 1982625
18 1840666
19 2015208
20 2218417
21 2570333
22 2518542
23 2961333
24 2807459
25 3427959
26 3195042
27 3868917
28 3930792
29 3822333
30 4098667
31 4133125
32 4469042
33 4503416
34 5265042
35 5634916
36 5240375
37 6166500
38 6044750
39 7086042
40 7471792
41 7716958
42 8894917
43 9225166
44 10185542
45 10594625
46 10464583
47 11805375
48 11771375
49 13768042
