n time_ns
3 875
4 2458
5 5041
6 11958
7 22000
8 26625
9 40084
10 55084
11 77708
12 116500
13 145458
14 235750
15 239750
16 334583
17 361333
18 426208
19 556250
20 679000
21 767917
22 986834
23 1153500
24 1524625
25 1478416
26 1479583
27 1659333
28 2016834
29 2249583
30 2233416
31 2456625
32 2556959
33 2786875
34 2793375
35 2986959
36 3672042
37 3981250
38 4079458
39 4771583
40 5317292
41 5707000
42 6902333
43 5950709
44 7698250
45 7277917
46 9826791
47 8897000
48 8546208
49 9142042
50 10991375
